media-source,campaign,installs appsflyer,impressions,clicks,source_files
googleadwords_int,SER|RET|Anniversaries - MM,144,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Mday25 - Demographics - Acquisition,142,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Christmas24 - Hero - Retention,140,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|RET|Brand - Long Tail Brand - EX,139,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Vday25 - Online Overwhelmed - Acquisition,136,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Birthday - MM Google Ads Tag,135,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,Shoptimised | Performance MAX | NoClicks | New Customers Only | Incremental ACQ,134,254869,1212,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Mday25 - Interests - Retention,133,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Mday25 - Demographics - Retention,132,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Mday25 - Hero - Acquisition,131,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
tiktokglobal_int,Valentines25 - Hero - Acquisition,129,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Mothers24 - Interests - Retention,127,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Vday25 - T2 - Retention,127,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Mothers24 - Interests - Acquisition,126,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Mday25 - T2 - Acquisition,125,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Vday25 - T1 Creative - Retention,125,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Interests - BR,125,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Animals - BR,124,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Father's Day - BR,123,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Mday25 - Misc - Acquisition,115,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Brand - BR,113,1175,327,2024-01-01__2025-07-20.csv
tiktokglobal_int,FD25 - Acquisition - Tiktok,111,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|INT|Send Abroad - BR,108,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Mother's Day - BR,108,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Newyear24 - Dynamic - Retention,107,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Mothers24 - A+ - acquisition Campaign,105,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SHP|RET|All Products - Brand,104,14622,103,2024-01-01__2025-07-20.csv
Facebook Ads,Mothers24 - Styles - Retention,103,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Mother's Day - DSA,103,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,NewYear24A - Style - Acquisition,101,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Retention_FD25_Hero,101,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Thank You - BR,101,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|RET|Birthday - BR,100,4981,809,2024-01-01__2025-07-20.csv
Facebook Ads,NewYear24 - Style - Retention,100,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,NewYear24 - Catalogue - retention,100,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Just Because - BR,100,1507,100,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Christmas - EX,99,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Fday24 - Interests - Retention,99,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Retention_FD25_Targeted,99,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Congratulations - BR,98,11923,873,2024-01-01__2025-07-20.csv
card-back-thortful,card-back-vday-faceswap,96,0,205,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Mday25 - T1 - Retention,92,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|RET|Father's Day - EX,91,0,0,2024-01-01__2025-07-20.csv
bing_organic_seo,None,91,0,91,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|RET|INT|Send to UK - EX,89,147,131,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Valentines24 - previousbuyers - retention,86,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,DMG|ACQ|Valentine's Day 25,86,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|RET|Valentine's - BR,85,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,FDay24 - Dynamic - Acquisition,84,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Valentines24 - Gifting - Retention,83,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Sympathy - EX,83,1295,160,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Christmas24 - Styles - Retention,82,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Retention_FD25_HighPotential,81,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Q225 - Anniversary - Retention,79,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
tiktokglobal_int,MD25 - Carousel - Acquisition,79,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,Shoptimised | Performance MAX | NoClicks | Incremental ACQ,79,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Acquisition_FD25_FSAndroid,78,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Leaving - BR,78,3318,385,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Birthday - MM Corvidae Test - Birthday Acq,77,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Mday25 - Hero - Retention,75,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Acquisition_FD25_HighPotential,74,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,Shoptimised | Incremental | Performance Max | Thank you & Others | ACQ,74,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Leaving - MM,74,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Q1FY25 - BAU - Retention,73,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
bloomreach,BAU_F_020625_FDThePerfectCard,72,0,3016,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Vday25 - retargeting - Retention,72,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Social_Influencers,pr-influencer-face-swap-2025-01-27,71,0,370,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,FDay24 - Catalogue - Acquisition,70,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Interests - MM,70,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Good Luck - BR,69,0,0,2024-01-01__2025-07-20.csv
af_banner,fullscreen_homepage_test1,69,907,154,2024-01-01__2025-07-20.csv
google_organic_seo,our-tonys-chocolonely-gifts,69,0,69,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Christmas - BR,68,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Vday25 - Advantage+ - Acquisition Campaign,68,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Mday25 - Misc - Retention,67,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Q225 - Birthday - Retention,67,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Retention_FD25_T1,66,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Valentines24 - video - retention,65,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SHP|RET|Father's Day 24,64,0,0,2024-01-01__2025-07-20.csv
print,app_20_flyer,64,0,82,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,FDay24 - Styles - Retention,64,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Engagements & Weddings - BR,64,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|TV Shows - MM,64,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Vday25 - T1 Creative - Acquisition,63,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Retention_FD25_Statics,63,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|RET|Engagements & Weddings - MM,63,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,DMG|ACQ|Mother's Day 25,62,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|RET|Thank You - BR,62,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
ecosia_organic_seo,None,61,0,61,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Spring24 - Anniversary - Retention,60,868942,9396,2024-01-01__2025-07-20.csv
